,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
7566,Lisboa,"São Vicente, Lisboa",T3,1 140 000 €,181 m²,6 298 €/m²,Casas de Banho: 3,Em construção
7567,Lisboa,"Arroios, Lisboa",T2,530 000 €,82 m²,6 463 €/m²,Casas de Banho: 2,Novo
7568,Lisboa,"São Vicente, Lisboa",T2,655 000 €,97 m²,6 753 €/m²,Casas de Banho: 2,Em construção
7569,Lisboa,"São Vicente, Lisboa",T3,965 000 €,156 m²,6 186 €/m²,Casas de Banho: 3,Em construção
7570,Lisboa,"São Vicente, Lisboa",T3,1 035 000 €,169 m²,6 124 €/m²,Casas de Banho: 3,Em construção
7571,Lisboa,"Porto Salvo, Oeiras, Lisboa",T5,1 150 000 €,228 m²,5 044 €/m²,Casas de Banho: 4 ou mais,Em construção
7572,Lisboa,"Alcântara, Lisboa",T2,424 440 €,72 m²,5 895 €/m²,Casas de Banho: 2,Em construção
7573,Lisboa,"São Vicente, Lisboa",T3,1 090 000 €,172 m²,6 337 €/m²,Casas de Banho: 3,Em construção
7574,Lisboa,"São Vicente, Lisboa",T3,1 190 000 €,172 m²,6 919 €/m²,Casas de Banho: 3,Em construção
7575,Lisboa,"Alcântara, Lisboa",T2,428 760 €,72 m²,5 955 €/m²,Casas de Banho: 2,Em construção
7576,Lisboa,"Santo António, Lisboa",T1,647 000 €,54 m²,11 981 €/m²,Casas de Banho: 2,Em construção
7577,Lisboa,"Alcântara, Lisboa",T2,442 800 €,84 m²,5 271 €/m²,Casas de Banho: 2,Em construção
7578,Lisboa,"Santo António, Lisboa",T1,505 000 €,44 m²,11 477 €/m²,Casas de Banho: 1,Em construção
7579,Porto,"Aldoar, Foz do Douro e Nevogilde, Porto",T3,530 000 €,125 m²,4 240 €/m²,Casas de Banho: 3,Em construção
7580,Porto,"Aldoar, Foz do Douro e Nevogilde, Porto",T1,250 000 €,"52,80 m²",4 735 €/m²,Casas de Banho: 1,Em construção
7581,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T3,536 920 €,"155,10 m²",3 462 €/m²,Casas de Banho: 3,Em construção
7582,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,135 000 €,80 m²,1 688 €/m²,Casas de Banho: 1,Usado
7583,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,129 500 €,78 m²,1 660 €/m²,Para recuperar,
7584,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,129 500 €,78 m²,1 660 €/m²,Para recuperar,
7585,Faro,"Portimão, Faro",T3,330 000 €,"100,30 m²",3 290 €/m²,Casas de Banho: 2,Novo
7586,Faro,"Portimão, Faro",T3,320 000 €,"100,30 m²",3 190 €/m²,Casas de Banho: 2,Novo
7587,Lisboa,"Ericeira, Mafra, Lisboa",T2,217 500 €,"101,60 m²",2 141 €/m²,Casas de Banho: 1,Usado
7588,Coimbra,"Buarcos e São Julião, Figueira da Foz, Coimbra",T2,139 500 €,"82,59 m²",1 689 €/m²,Casas de Banho: 1,Usado
7589,Braga,"Azurém, Guimarães, Braga",T3,205 000 €,"141,80 m²",1 446 €/m²,Em construção,
7590,Braga,"Urgezes, Guimarães, Braga",T4,181 000 €,"144,37 m²",1 254 €/m²,Casas de Banho: 3,Usado
7591,Porto,"Campanhã, Porto",T1,145 000 €,38 m²,3 816 €/m²,Casas de Banho: 1,Novo
7592,Aveiro,"São João de Ver, Santa Maria da Feira, Aveiro",T2,121 000 €,"112,27 m²",1 078 €/m²,Casas de Banho: 2,Usado
7593,Lisboa,"Mina de Água, Amadora, Lisboa",T3,170 000 €,80 m²,2 125 €/m²,Casas de Banho: 1,Renovado
7594,Lisboa,"Encosta do Sol, Amadora, Lisboa",Vídeo,T2,142 000 €,64 m²,2 219 €/m²,Casas de Banho: 1
7595,Lisboa,"Santa Iria de Azoia, São João da Talha e Bobadela, Loures, Lisboa",Vídeo,T2,175 000 €,69 m²,2 536 €/m²,Casas de Banho: 2
7596,Porto,"Lordelo do Ouro e Massarelos, Porto",Vídeo,T4,1 150 000 €,"205,50 m²",5 596 €/m²,Casas de Banho: 4 ou mais
7597,Lisboa,"Misericórdia, Lisboa",T1,325 000 €,55 m²,5 909 €/m²,Casas de Banho: 1,Usado
7598,Porto,"Moreira, Maia, Porto",T2,128 000 €,84 m²,1 524 €/m²,Casas de Banho: 1,Renovado
7599,Faro,"Faro (Sé e São Pedro), Faro",T2,145 000 €,"63,84 m²",2 271 €/m²,Casas de Banho: 1,Usado
7600,Lisboa,"Santo António, Lisboa",T2,480 000 €,79 m²,6 076 €/m²,Casas de Banho: 1,Usado
7601,Lisboa,"Alvalade, Lisboa",T3,690 000 €,"167,50 m²",4 119 €/m²,Casas de Banho: 3,Usado
7602,Setúbal,"Laranjeiro e Feijó, Almada, Setúbal",T2,140 000 €,64 m²,2 188 €/m²,Casas de Banho: 1,Renovado
7603,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T1,165 000 €,"59,25 m²",2 785 €/m²,Casas de Banho: 1,Usado
7604,Aveiro,"Glória e Vera Cruz, Aveiro",T0,130 000 €,"44,22 m²",2 940 €/m²,Casas de Banho: 1,Em construção
7605,Setúbal,"Amora, Seixal, Setúbal",T3,193 500 €,144 m²,1 344 €/m²,Casas de Banho: 2,Usado
7606,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T1,179 000 €,45 m²,3 978 €/m²,Em construção,
7607,Aveiro,"Esmoriz, Ovar, Aveiro",T2,152 000 €,76 m²,2 000 €/m²,Casas de Banho: 2,Usado
7608,Porto,"Paranhos, Porto",T1,220 000 €,61 m²,3 607 €/m²,Casas de Banho: 2,Novo
7609,Porto,"Paranhos, Porto",T1,170 000 €,42 m²,4 048 €/m²,Casas de Banho: 1,Novo
7610,Porto,"Bonfim, Porto",T1,150 000 €,41 m²,3 659 €/m²,Novo,
7611,Porto,"Rebordosa, Paredes, Porto",T2,138 500 €,85 m²,1 629 €/m²,Casas de Banho: 2,Novo
7612,Porto,"Rebordosa, Paredes, Porto",T2,128 000 €,83 m²,1 542 €/m²,Casas de Banho: 2,Novo
