,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
2588,Lisboa,"São Domingos de Rana, Cascais, Lisboa",T3,329 900 €,121 m²,2 726 €/m²,Casas de Banho: 2,Usado
2589,Lisboa,"Carcavelos e Parede, Cascais, Lisboa",T2,347 000 €,76 m²,4 566 €/m²,Casas de Banho: 2,
2590,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T3,293 000 €,147 m²,1 993 €/m²,Casas de Banho: 2,Renovado
2591,Faro,"Faro (Sé e São Pedro), Faro",T3,280 000 €,"174,10 m²",1 608 €/m²,Casas de Banho: 3,Novo
2592,Lisboa,"Carcavelos e Parede, Cascais, Lisboa",T2,347 000 €,76 m²,4 566 €/m²,Casas de Banho: 2,
2593,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T3,293 000 €,147 m²,1 993 €/m²,Casas de Banho: 2,Renovado
2594,Faro,"Faro (Sé e São Pedro), Faro",T3,280 000 €,"174,10 m²",1 608 €/m²,Casas de Banho: 3,Novo
2595,Faro,"Faro (Sé e São Pedro), Faro",T3,308 000 €,"136,35 m²",2 259 €/m²,Casas de Banho: 2,Novo
2596,Lisboa,"Areeiro, Lisboa",T2,430 000 €,87 m²,4 943 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2597,Leiria,"Marinha Grande, Leiria",T3,93 500 €,97 m²,964 €/m²,Casas de Banho: 2,
2598,Faro,"Faro (Sé e São Pedro), Faro",T3,300 000 €,"136,35 m²",2 200 €/m²,Casas de Banho: 2,Novo
2599,Porto,"Ermesinde, Valongo, Porto",T2,202 500 €,120 m²,1 688 €/m²,Casas de Banho: 2,Em construção
2600,Porto,"Ermesinde, Valongo, Porto",T2,212 500 €,120 m²,1 771 €/m²,Casas de Banho: 2,Em construção
2601,Faro,"Faro (Sé e São Pedro), Faro",T3,285 000 €,"135,65 m²",2 101 €/m²,Casas de Banho: 2,Novo
2602,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,245 000 €,"104,93 m²",2 335 €/m²,Casas de Banho: 3,Em construção
2603,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,240 000 €,"89,94 m²",2 668 €/m²,Casas de Banho: 3,Em construção
2604,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,260 000 €,"96,14 m²",2 704 €/m²,Casas de Banho: 3,Em construção
2605,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,250 000 €,"97,31 m²",2 569 €/m²,Casas de Banho: 3,Em construção
2606,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,270 000 €,"104,93 m²",2 573 €/m²,Casas de Banho: 3,Em construção
2607,Lisboa,"Algueirão-Mem Martins, Sintra, Lisboa",T3,187 000 €,120 m²,1 558 €/m²,Casas de Banho: 2,Usado
2608,Lisboa,"Avenidas Novas, Lisboa",T5,995 000 €,205 m²,4 854 €/m²,Casas de Banho: 3,Renovado
2609,Lisboa,"Avenidas Novas, Lisboa",Vídeo,T3,499 000 €,110 m²,4 536 €/m²,Casas de Banho: 2
2610,Faro,"Faro (Sé e São Pedro), Faro",T3,285 000 €,"137,25 m²",2 077 €/m²,Casas de Banho: 2,Novo
2611,Lisboa,"Rio de Mouro, Sintra, Lisboa",T2,133 500 €,66 m²,2 023 €/m²,Casas de Banho: 1,
2612,Lisboa,"Avenidas Novas, Lisboa",T5,1 850 000 €,378 m²,4 894 €/m²,Casas de Banho: 4 ou mais,Novo
2613,Coimbra,"São Pedro, Figueira da Foz, Coimbra",T3,97 000 €,115 m²,843 €/m²,Casas de Banho: 2,Usado
2614,Santarém,"São João Baptista, Entroncamento, Santarém",T4,121 210 €,150 m²,808 €/m²,Casas de Banho: 2,Usado
2615,Lisboa,"Arroios, Lisboa",T4,295 000 €,106 m²,2 783 €/m²,Casas de Banho: 2,Usado
2616,Lisboa,"Rio de Mouro, Sintra, Lisboa",T2,147 500 €,84 m²,1 756 €/m²,Casas de Banho: 1,Usado
2617,Santarém,"Abrantes (São Vicente e São João) e Alferrarede, Abrantes, Santarém",T2,110 000 €,73 m²,1 507 €/m²,Casas de Banho: 2,Novo
2618,Lisboa,"Avenidas Novas, Lisboa",T1,630 000 €,"79,20 m²",7 955 €/m²,Casas de Banho: 1,Novo
2619,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T2,216 000 €,90 m²,2 400 €/m²,Casas de Banho: 1,Em construção
2620,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T4,293 000 €,178 m²,1 646 €/m²,Casas de Banho: 2,Em construção
2621,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T3,252 000 €,153 m²,1 647 €/m²,Casas de Banho: 2,Em construção
2622,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T3,257 000 €,153 m²,1 680 €/m²,Casas de Banho: 2,Em construção
2623,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T3,314 000 €,123 m²,2 553 €/m²,Casas de Banho: 2,Em construção
2624,Coimbra,"Condeixa-a-Velha e Condeixa-a-Nova, Condeixa-a-Nova, Coimbra",T4,288 000 €,178 m²,1 618 €/m²,Casas de Banho: 2,Em construção
2625,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T3,168 500 €,110 m²,1 532 €/m²,Casas de Banho: 3,Usado
2626,Lisboa,"São Domingos de Benfica, Lisboa",T4,329 950 €,105 m²,3 142 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2627,Lisboa,"Lumiar, Lisboa",T4,395 000 €,125 m²,3 160 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2628,Setúbal,"Caparica e Trafaria, Almada, Setúbal",T2,150 000 €,"68,40 m²",2 193 €/m²,Acompanhamento Virtual,Casas de Banho: 1
2629,Setúbal,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal",T1,137 500 €,"49,10 m²",2 800 €/m²,Acompanhamento Virtual,Casas de Banho: 1
2630,Lisboa,"São Domingos de Rana, Cascais, Lisboa",T3,300 000 €,"125,60 m²",2 389 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2631,Lisboa,"Ramada e Caneças, Odivelas, Lisboa",T4,475 000 €,169 m²,2 811 €/m²,Acompanhamento Virtual,Casas de Banho: 4 ou mais
2632,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T3,175 000 €,120 m²,1 458 €/m²,Casas de Banho: 2,Usado
2633,Lisboa,"Lumiar, Lisboa",T2,377 500 €,"95,30 m²",3 961 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2634,Faro,"Alvor, Portimão, Faro",T1,165 000 €,58 m²,2 845 €/m²,Casas de Banho: 1,Renovado
2635,Lisboa,"Santo António, Lisboa",T2,808 500 €,"109,70 m²",7 370 €/m²,Casas de Banho: 2,Novo
2636,Lisboa,"Estrela, Lisboa",T2,1 125 000 €,"131,40 m²",8 562 €/m²,Casas de Banho: 3,Novo
2637,Coimbra,"Buarcos e São Julião, Figueira da Foz, Coimbra",T2,207 000 €,86 m²,2 407 €/m²,Casas de Banho: 1,Usado
2638,Leiria,"Leiria, Pousos, Barreira e Cortes, Leiria",T2,127 500 €,68 m²,1 875 €/m²,Casas de Banho: 1,Usado
2639,Porto,"Lordelo do Ouro e Massarelos, Porto",T2,380 000 €,101 m²,3 762 €/m²,Casas de Banho: 2,Em construção
2640,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,187 000 €,88 m²,2 125 €/m²,Casas de Banho: 1,Usado
2641,Lisboa,"Campo de Ourique, Lisboa",T2,308 500 €,68 m²,4 537 €/m²,Casas de Banho: 1,
2642,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T2,160 000 €,99 m²,1 616 €/m²,Casas de Banho: 2,Usado
2643,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T2,160 000 €,95 m²,1 684 €/m²,Casas de Banho: 2,Usado
2644,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",Vídeo,T3,289 000 €,134 m²,2 157 €/m²,Casas de Banho: 3
2645,Braga,"São Victor, Braga",T3,132 900 €,137 m²,970 €/m²,Casas de Banho: 2,Usado
2646,Braga,"Antas e Abade de Vermoim, Vila Nova de Famalicão, Braga",T2,105 000 €,83 m²,1 265 €/m²,Casas de Banho: 1,Renovado
2647,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T4,295 000 €,173 m²,1 705 €/m²,Casas de Banho: 3,Usado
2648,Lisboa,"Odivelas, Lisboa",T2,220 000 €,76 m²,2 895 €/m²,Acompanhamento Virtual,Casas de Banho: 1
2649,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T3,185 000 €,98 m²,1 888 €/m²,Casas de Banho: 2,Usado
2650,Lisboa,"Penha de França, Lisboa",T1,410 000 €,61 m²,6 721 €/m²,Casas de Banho: 1,
2651,Lisboa,"Benfica, Lisboa",T3,550 000 €,150 m²,3 667 €/m²,Casas de Banho: 2,Usado
2652,Lisboa,"Arroios, Lisboa",T1,240 000 €,48 m²,5 000 €/m²,Casas de Banho: 1,Renovado
2653,Évora,"Évora (São Mamede, Sé, São Pedro e Santo Antão), Évora",T5,1 600 000 €,"245,10 m²",6 528 €/m²,Casas de Banho: 4 ou mais,Renovado
2654,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T3,264 900 €,107 m²,2 476 €/m²,Casas de Banho: 3,Renovado
2655,Porto,"Canidelo, Vila Nova de Gaia, Porto",T2,381 500 €,"120,30 m²",3 171 €/m²,Casas de Banho: 3,Em construção
2656,Porto,"Canidelo, Vila Nova de Gaia, Porto",T3,509 750 €,180 m²,2 832 €/m²,Em construção,
2657,Porto,"Canidelo, Vila Nova de Gaia, Porto",T3,541 000 €,"176,80 m²",3 060 €/m²,Em construção,
2658,Porto,"Canidelo, Vila Nova de Gaia, Porto",T2,419 000 €,"160,70 m²",2 607 €/m²,Casas de Banho: 3,Em construção
2659,Faro,"Portimão, Faro",T4,475 000 €,"144,50 m²",3 287 €/m²,Casas de Banho: 4 ou mais,Usado
2660,Lisboa,"Rio de Mouro, Sintra, Lisboa",T3,132 000 €,73 m²,1 808 €/m²,Casas de Banho: 2,
2661,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,129 500 €,78 m²,1 660 €/m²,Casas de Banho: 1,Usado
2662,Lisboa,"Agualva e Mira-Sintra, Sintra, Lisboa",T1,128 500 €,70 m²,1 836 €/m²,Casas de Banho: 1,
2663,Lisboa,"Ramada e Caneças, Odivelas, Lisboa",T2,277 000 €,103 m²,2 689 €/m²,Casas de Banho: 2,Usado
2664,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,160 000 €,102 m²,1 569 €/m²,Casas de Banho: 2,Usado
2665,Leiria,"Marrazes e Barosa, Leiria",T2,79 000 €,62 m²,1 274 €/m²,Casas de Banho: 1,Usado
2666,Setúbal,"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça), Setúbal",T3,98 700 €,67 m²,1 473 €/m²,Casas de Banho: 2,Renovado
2667,Faro,"Portimão, Faro",T3,225 000 €,96 m²,2 344 €/m²,Casas de Banho: 2,Renovado
2668,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T4,460 000 €,"103,70 m²",4 436 €/m²,Acompanhamento Virtual,Casas de Banho: 3
2669,Porto,"Paranhos, Porto",Vídeo,T2,174 200 €,52 m²,3 350 €/m²,Casas de Banho: 1
2670,Porto,"Paranhos, Porto",Vídeo,T1,161 470 €,36 m²,4 485 €/m²,Casas de Banho: 1
2671,Porto,"Paranhos, Porto",Vídeo,T1,191 620 €,52 m²,3 685 €/m²,Casas de Banho: 1
2672,Porto,"Paranhos, Porto",Vídeo,T2,214 735 €,52 m²,4 130 €/m²,Casas de Banho: 1
2673,Faro,"Portimão, Faro",T1,155 000 €,49 m²,3 163 €/m²,Casas de Banho: 1,Renovado
2674,Lisboa,"Campolide, Lisboa",T2,310 000 €,85 m²,3 647 €/m²,Casas de Banho: 1,Renovado
2675,Lisboa,"São Domingos de Benfica, Lisboa",T1,375 000 €,100 m²,3 750 €/m²,Casas de Banho: 2,
2676,Setúbal,"São Sebastião, Setúbal",T2,75 000 €,62 m²,1 210 €/m²,Casas de Banho: 1,Usado
2677,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T3,318 000 €,120 m²,2 650 €/m²,Casas de Banho: 3,Novo
2678,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T2,225 000 €,68 m²,3 309 €/m²,Usado,
2679,Porto,"Canidelo, Vila Nova de Gaia, Porto",T3,290 000 €,162 m²,1 790 €/m²,Casas de Banho: 3,Novo
2680,Lisboa,"Rio de Mouro, Sintra, Lisboa",T3,400 000 €,"150,10 m²",2 665 €/m²,Casas de Banho: 3,
2681,Faro,"São Gonçalo de Lagos, Lagos, Faro",T2,279 000 €,126 m²,2 214 €/m²,Casas de Banho: 2,
2682,Faro,"Portimão, Faro",T2,125 500 €,78 m²,1 609 €/m²,Casas de Banho: 1,Usado
2683,Lisboa,"Lumiar, Lisboa",T4,625 000 €,180 m²,3 472 €/m²,Casas de Banho: 3,Usado
2684,Lisboa,"Santo António, Lisboa",Vídeo,T1,230 000 €,51 m²,4 510 €/m²,Casas de Banho: 1
2685,Lisboa,"Odivelas, Lisboa",T3,205 000 €,79 m²,2 595 €/m²,Casas de Banho: 2,Para recuperar
2686,Porto,"Paranhos, Porto",Vídeo,T3,198 000 €,110 m²,1 800 €/m²,Casas de Banho: 1
2687,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T2,115 000 €,"62,40 m²",1 843 €/m²,Casas de Banho: 1,Renovado
2688,Braga,"Priscos, Braga",T3,50 000 €,137 m²,365 €/m²,Casas de Banho: 1,Para recuperar
2689,Porto,"Canidelo, Vila Nova de Gaia, Porto",T3,560 000 €,160 m²,3 500 €/m²,Casas de Banho: 3,Usado
2690,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T1,115 000 €,63 m²,1 825 €/m²,Casas de Banho: 1,Usado
2691,Porto,"Cidade da Maia, Maia, Porto",Vídeo,T3,160 000 €,105 m²,1 524 €/m²,Casas de Banho: 2
2692,Porto,"Perafita, Lavra e Santa Cruz do Bispo, Matosinhos, Porto",T2,269 000 €,"109,70 m²",2 452 €/m²,Casas de Banho: 3,Usado
2693,Setúbal,"Barreiro e Lavradio, Barreiro, Setúbal",T3,189 900 €,132 m²,1 439 €/m²,Casas de Banho: 2,
2694,Faro,"Quarteira, Loulé, Faro",T2,255 000 €,65 m²,3 923 €/m²,Casas de Banho: 1,
2695,Lisboa,"Parque das Nações, Lisboa",T3,530 000 €,"119,90 m²",4 420 €/m²,Acompanhamento Virtual,Casas de Banho: 2
2696,Leiria,"Marrazes e Barosa, Leiria",T3,79 500 €,105 m²,757 €/m²,Casas de Banho: 2,Usado
2697,Lisboa,"Penha de França, Lisboa",Vídeo,T3,415 000 €,85 m²,4 882 €/m²,Casas de Banho: 2
2698,Porto,"São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",T3,225 000 €,"124,18 m²",1 812 €/m²,Casas de Banho: 2,Usado
2699,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T2,139 000 €,130 m²,1 069 €/m²,Casas de Banho: 2,Usado
2700,Setúbal,"Quinta do Conde, Sesimbra, Setúbal",T1,85 900 €,67 m²,1 282 €/m²,Casas de Banho: 1,Renovado
2701,Porto,"Paranhos, Porto",T2,219 900 €,86 m²,2 557 €/m²,Casas de Banho: 2,Renovado
2702,Braga,"São Vicente, Braga",T1,119 000 €,40 m²,2 975 €/m²,Casas de Banho: 1,Novo
2703,Braga,"São Victor, Braga",T1,187 000 €,62 m²,3 016 €/m²,Casas de Banho: 1,Novo
2704,Braga,"São Victor, Braga",T3,520 000 €,189 m²,2 751 €/m²,Casas de Banho: 3,Novo
2705,Braga,"São Victor, Braga",T4,475 000 €,170 m²,2 794 €/m²,Casas de Banho: 3,Novo
2706,Braga,"São Vicente, Braga",T1,190 000 €,77 m²,2 468 €/m²,Casas de Banho: 2,Novo
2707,Braga,"São Vicente, Braga",T0,117 500 €,35 m²,3 357 €/m²,Casas de Banho: 1,Novo
2708,Santarém,"Nossa Senhora de Fátima, Entroncamento, Santarém",T3,47 500 €,"97,50 m²",487 €/m²,Casas de Banho: 2,Usado
2709,Leiria,"Leiria, Pousos, Barreira e Cortes, Leiria",T3,187 000 €,128 m²,1 461 €/m²,Casas de Banho: 2,
2710,Faro,"Portimão, Faro",T3,340 000 €,100 m²,3 400 €/m²,Casas de Banho: 3,Em construção
2711,Lisboa,"Arroios, Lisboa",T4,448 000 €,110 m²,4 073 €/m²,Casas de Banho: 2,Usado
2712,Lisboa,"Avenidas Novas, Lisboa",T2,480 000 €,83 m²,5 783 €/m²,Casas de Banho: 1,
2713,Lisboa,"Vialonga, Vila Franca de Xira, Lisboa",T1,168 500 €,73 m²,2 308 €/m²,Casas de Banho: 1,
2714,Lisboa,"Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",T3,170 000 €,75 m²,2 267 €/m²,Casas de Banho: 2,Renovado
2715,Lisboa,"Lumiar, Lisboa",Vídeo,T4,925 000 €,198 m²,4 672 €/m²,Casas de Banho: 3
2716,Lisboa,"Lumiar, Lisboa",T2,525 000 €,112 m²,4 688 €/m²,Casas de Banho: 2,Novo
2717,Lisboa,"Lumiar, Lisboa",T3,725 000 €,155 m²,4 677 €/m²,Casas de Banho: 2,Novo
2718,Lisboa,"Lumiar, Lisboa",Vídeo,T2,750 000 €,112 m²,6 696 €/m²,Casas de Banho: 2
2719,Lisboa,"Lumiar, Lisboa",T3,710 000 €,155 m²,4 581 €/m²,Casas de Banho: 2,Novo
2720,Lisboa,"Lumiar, Lisboa",T3,715 000 €,155 m²,4 613 €/m²,Casas de Banho: 2,Novo
2721,Lisboa,"Lumiar, Lisboa",T4,850 000 €,197 m²,4 315 €/m²,Casas de Banho: 3,Novo
2722,Lisboa,"Lumiar, Lisboa",T4,850 000 €,198 m²,4 293 €/m²,Casas de Banho: 3,Novo
2723,Porto,"Arcozelo, Vila Nova de Gaia, Porto",T1,183 500 €,63 m²,2 913 €/m²,Casas de Banho: 1,Novo
2724,Faro,"Silves, Faro",T3,105 000 €,91 m²,1 154 €/m²,Casas de Banho: 2,Usado
2725,Faro,"Portimão, Faro",T3,808 000 €,190 m²,4 253 €/m²,Casas de Banho: 4 ou mais,Novo
2726,Lisboa,"Benfica, Lisboa",T2,280 000 €,82 m²,3 415 €/m²,Casas de Banho: 2,
2727,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T4,890 000 €,155 m²,5 742 €/m²,Casas de Banho: 3,Novo
2728,Porto,"Azurara, Vila do Conde, Porto",Vídeo,T3,290 000 €,93 m²,3 118 €/m²,Casas de Banho: 2
2729,Porto,"Paranhos, Porto",T1,161 000 €,"50,75 m²",3 172 €/m²,Casas de Banho: 1,Novo
2730,Aveiro,"Espinho, Aveiro",T8,650 000 €,396 m²,1 641 €/m²,Casas de Banho: 4 ou mais,Para recuperar
2731,Porto,"São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",Vídeo,T3,185 000 €,101 m²,1 832 €/m²,Casas de Banho: 2
2732,Porto,"São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",Vídeo,T4,379 900 €,212 m²,1 792 €/m²,Casas de Banho: 4 ou mais
2733,Leiria,"Marinha Grande, Leiria",T3,138 400 €,126 m²,1 098 €/m²,Casas de Banho: 2,
2734,Leiria,"Coimbrão, Leiria",T2,99 000 €,80 m²,1 238 €/m²,Casas de Banho: 1,
2735,Leiria,"Pombal, Leiria",T2,164 500 €,100 m²,1 645 €/m²,Casas de Banho: 2,
2736,Setúbal,"Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça), Setúbal",T3,110 000 €,87 m²,1 264 €/m²,Casas de Banho: 2,
2737,Setúbal,"Palmela, Setúbal",T4,305 000 €,195 m²,1 564 €/m²,Casas de Banho: 3,
2738,Lisboa,"Algueirão-Mem Martins, Sintra, Lisboa",T2,140 000 €,94 m²,1 489 €/m²,Casas de Banho: 2,
2739,Lisboa,"Benfica, Lisboa",Vídeo,T4,660 000 €,175 m²,3 771 €/m²,Casas de Banho: 3
2740,Coimbra,"Tentúgal, Montemor-o-Velho, Coimbra",T3,140 000 €,129 m²,1 085 €/m²,Casas de Banho: 2,
2741,Braga,"Braga (Maximinos, Sé e Cividade), Braga",T3,139 900 €,130 m²,1 076 €/m²,Casas de Banho: 2,Usado
2742,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,140 000 €,74 m²,1 892 €/m²,Casas de Banho: 1,
2743,Lisboa,"Alfragide, Amadora, Lisboa",T2,185 000 €,77 m²,2 403 €/m²,Casas de Banho: 1,
2744,Lisboa,"Lumiar, Lisboa",Vídeo,T3,725 000 €,130 m²,5 577 €/m²,Casas de Banho: 2
2745,Leiria,"Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório, Caldas da Rainha, Leiria",T4,139 000 €,"101,70 m²",1 367 €/m²,Casas de Banho: 2,Renovado
2746,Porto,"Custóias, Leça do Balio e Guifões, Matosinhos, Porto",T3,209 000 €,131 m²,1 595 €/m²,Casas de Banho: 2,Usado
2747,Braga,"São Victor, Braga",T3,134 900 €,135 m²,999 €/m²,Casas de Banho: 2,Usado
2748,Lisboa,"Alcântara, Lisboa",Vídeo,T2,265 500 €,118 m²,2 250 €/m²,Casas de Banho: 1
2749,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T1,149 900 €,70 m²,2 141 €/m²,Casas de Banho: 1,
2750,Porto,"Canidelo, Vila Nova de Gaia, Porto",T2,149 000 €,87 m²,1 713 €/m²,Casas de Banho: 2,Renovado
2751,Braga,"São Victor, Braga",T3,289 900 €,217 m²,1 336 €/m²,Casas de Banho: 2,Usado
2752,Braga,"São Vicente, Braga",T3,215 000 €,114 m²,1 886 €/m²,Casas de Banho: 2,Renovado
2753,Faro,"Portimão, Faro",T1,160 000 €,102 m²,1 569 €/m²,Casas de Banho: 1,Usado
2754,Faro,"Portimão, Faro",T1,160 000 €,91 m²,1 758 €/m²,Casas de Banho: 1,Usado
2755,Braga,"Ferreiros e Gondizalves, Braga",T3,179 500 €,140 m²,1 282 €/m²,Casas de Banho: 2,
2756,Braga,"Lousado, Vila Nova de Famalicão, Braga",T3,95 000 €,78 m²,1 218 €/m²,Casas de Banho: 1,
2757,Ilha da Madeira,"São Martinho, Funchal, Ilha da Madeira",T2,398 000 €,101 m²,3 941 €/m²,Casas de Banho: 3,Em construção
2758,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",T2,129 500 €,84 m²,1 542 €/m²,Casas de Banho: 1,
2759,Lisboa,"Alcântara, Lisboa",T2,237 000 €,80 m²,2 963 €/m²,Casas de Banho: 2,
2760,Lisboa,"Santo António, Lisboa",Vídeo,T8,1 200 000 €,200 m²,6 000 €/m²,Casas de Banho: 3
2761,Leiria,"Marrazes e Barosa, Leiria",T2,150 000 €,103 m²,1 456 €/m²,Casas de Banho: 2,Usado
2762,Santarém,"Fátima, Ourém, Santarém",T2,175 000 €,"109,76 m²",1 594 €/m²,Casas de Banho: 2,Novo
2763,Porto,"Paranhos, Porto",T1,185 000 €,68 m²,2 721 €/m²,Casas de Banho: 1,Novo
2764,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T1,335 000 €,69 m²,4 855 €/m²,Casas de Banho: 1,Usado
2765,Lisboa,"Alvalade, Lisboa",T3,389 000 €,92 m²,4 228 €/m²,Casas de Banho: 2,Usado
2766,Faro,"Quarteira, Loulé, Faro",T3,395 000 €,100 m²,3 950 €/m²,Casas de Banho: 3,Usado
2767,Porto,"Paranhos, Porto",T1,160 000 €,"47,06 m²",3 400 €/m²,Casas de Banho: 1,Novo
2768,Porto,"São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",T1,161 000 €,"50,75 m²",3 172 €/m²,Casas de Banho: 1,Novo
2769,Santarém,"Fátima, Ourém, Santarém",T2,130 000 €,93 m²,1 398 €/m²,Casas de Banho: 1,Renovado
2770,Leiria,"Caldas da Rainha - Santo Onofre e Serra do Bouro, Caldas da Rainha, Leiria",Vídeo,T3,110 000 €,90 m²,1 222 €/m²,Casas de Banho: 2
2771,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T1,85 000 €,53 m²,1 604 €/m²,Casas de Banho: 1,Renovado
2772,Porto,"Fânzeres e São Pedro da Cova, Gondomar, Porto",T4,167 500 €,173 m²,968 €/m²,Casas de Banho: 2,Usado
2773,Lisboa,"Ramada e Caneças, Odivelas, Lisboa",T2,185 000 €,"79,02 m²",2 341 €/m²,Casas de Banho: 1,Usado
2774,Leiria,"Coimbrão, Leiria",T2,125 000 €,75 m²,1 667 €/m²,Casas de Banho: 1,Usado
2775,Leiria,"Marrazes e Barosa, Leiria",T3,122 000 €,110 m²,1 109 €/m²,Casas de Banho: 2,Usado
2776,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T1,190 000 €,"39,70 m²",4 786 €/m²,Casas de Banho: 1,Novo
2777,Coimbra,"Santo António dos Olivais, Coimbra",T3,350 000 €,121 m²,2 893 €/m²,Casas de Banho: 3,Em construção
2778,Braga,"Urgezes, Guimarães, Braga",Vídeo,T3,215 000 €,152 m²,1 414 €/m²,Casas de Banho: 2
2779,Setúbal,"Atalaia e Alto Estanqueiro-Jardia, Montijo, Setúbal",T3,219 000 €,114 m²,1 921 €/m²,Casas de Banho: 2,
2780,Lisboa,"Lumiar, Lisboa",T4,648 000 €,229 m²,2 830 €/m²,Casas de Banho: 3,Usado
2781,Setúbal,"São Sebastião, Setúbal",T2,167 500 €,143 m²,1 171 €/m²,Casas de Banho: 3,Usado
2782,Coimbra,"Buarcos e São Julião, Figueira da Foz, Coimbra",T2,77 000 €,89 m²,865 €/m²,Casas de Banho: 1,Usado
2783,Faro,"Portimão, Faro",T0,97 000 €,34 m²,2 853 €/m²,Casas de Banho: 1,Renovado
2784,Lisboa,"Lumiar, Lisboa",T4,648 000 €,229 m²,2 830 €/m²,Casas de Banho: 3,Usado
2785,Setúbal,"São Sebastião, Setúbal",T2,167 500 €,143 m²,1 171 €/m²,Casas de Banho: 3,Usado
2786,Coimbra,"Buarcos e São Julião, Figueira da Foz, Coimbra",T2,77 000 €,89 m²,865 €/m²,Casas de Banho: 1,Usado
2787,Faro,"Portimão, Faro",T0,97 000 €,34 m²,2 853 €/m²,Casas de Banho: 1,Renovado
2788,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",Vídeo,T4,245 000 €,135 m²,1 815 €/m²,Casas de Banho: 3
2789,Porto,"Lordelo do Ouro e Massarelos, Porto",T3,650 000 €,147 m²,4 422 €/m²,Novo,
2790,Lisboa,"Moscavide e Portela, Loures, Lisboa",Vídeo,T2,215 500 €,75 m²,2 873 €/m²,Casas de Banho: 1
2791,Lisboa,"Alcântara, Lisboa",Vídeo,T3,240 000 €,64 m²,3 750 €/m²,Casas de Banho: 1
2792,Setúbal,"Santo António da Charneca, Barreiro, Setúbal",T3,143 000 €,"121,75 m²",1 175 €/m²,Casas de Banho: 1,Renovado
